AGE,GENDER,ETHNIC,EDU,SEX_O,O1,O2,O3R,O4,O5R,C1,C2,C3R,C4,C5R,E1,E2,E3,E4R,E5R,A1R,A2R,A3,A4,A5,N1,N2R,N3,N4R,N5,N_PART,SDD1,SDD2,SDD3,SDD4,SDD5,PSC1,PSC2,PSC3,PSC4,HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9,HS10,NO HS,NO HS,BDSMF1,BDSMF2,BDSMF3,BDSMF4,BDSMF5,BDSMF6,BDSMF7,BDSMF8,BDSMK,INIT1,INIT2R,INIT3R,INIT4,INIT5R,INIT6,INIT7R,INIT8R,INIT9,DSC1R,DSC2R,DSC3R,DSC4R,DSC5R,DSC6R,DSC7R,DSC8,DSC9,DSC10,DSC11,DSC12,DSC13,PBC1,PBC2,PBC3,PBC4,PBC5,PBC6,PBC7R,PBC8R,PAC1,PAC2,PAC3,PAC4,PAC5,PAC6,PAC7,PAC8,PAC9R,IAC1,IAC2,IAC3,IAC4,IAC5,IAC6R,AD1,AD2,AD3
19,1,1,3,1,4,5,3,4,3,4,4,4,4,4,5,5,4,2,3,3,3,4,4,4,3,4,3,3,2,17,3,3,2,2,1,5,4,5,5,1,1,1,0,0,0,0,0,0,0,0,0,4,5,1,2,3,3,4,3,3,5,2,3,4,3,1,2,3,5,1,1,2,2,2,2,2,4,4,4,5,5,4,2,3,4,3,3,2,4,5,4,4,5,4,3,3,4,3,3,5,5,4,3,4,3,3,3,4
19,1,1,3,1,4,4,1,4,4,2,2,2,2,4,4,4,4,2,3,2,2,3,4,3,2,4,2,4,2,6,2,2,2,2,2,5,5,5,5,1,1,1,1,0,0,0,0,0,0,0,0,4,3,3,2,1,1,4,1,2,4,2,3,2,4,1,4,4,4,1,1,1,1,1,1,1,5,5,4,5,5,4,2,2,1,2,1,1,4,4,4,4,3,2,4,2,4,4,2,4,4,4,3,3,2,4,4,2
19,1,1,3,1,4,4,2,3,4,4,4,2,4,2,5,5,4,2,2,2,2,4,4,4,1,4,2,4,4,2,1,1,2,2,1,4,4,5,4,0,1,1,1,0,0,0,0,0,0,0,0,5,2,1,1,1,1,1,2,2,3,2,3,4,4,1,1,3,2,1,2,1,1,1,1,1,5,4,4,5,1,3,1,1,1,1,1,1,4,4,4,4,4,2,3,2,4,4,3,4,4,3,2,2,2,4,2,2
21,1,1,3,1,2,4,4,4,5,5,4,1,5,2,5,4,4,2,2,2,2,4,4,5,2,2,4,2,4,6,2,1,1,1,1,5,5,5,5,0,1,1,1,0,0,1,1,0,0,0,0,5,5,2,5,2,4,4,3,3,5,2,4,4,3,1,2,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,2,1,2,1,2,2,5,5,4,4,4,3,3,2,4,4,4,4,5,4,3,3,3,5,5,1
19,1,1,3,1,4,4,3,4,3,5,4,3,4,4,3,2,2,4,3,4,4,4,3,4,5,2,5,2,5,1,3,2,1,1,1,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,2,1,1,1,3,2,4,4,5,2,5,1,5,5,1,1,1,4,2,1,1,4,5,3,3,5,5,5,2,1,2,1,2,1,5,5,5,1,5,3,3,4,3,4,4,5,5,4,4,3,1,2,2,2
20,1,1,3,5,4,4,2,4,2,4,3,4,4,4,3,3,4,4,4,4,3,4,3,3,1,4,3,4,4,1,3,1,3,3,1,4,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0,4,3,1,2,1,4,3,4,1,5,1,4,4,4,1,1,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,4,3,5,5,1,3,4,3,3,3,5,4,4,4
20,1,1,3,5,2,4,2,2,4,2,3,5,2,4,5,5,4,2,1,2,2,3,2,4,4,3,5,2,4,2,6,6,6,6,6,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,1,1,1,5,2,2,1,1,4,4,4,4,2,1,5,4,5,5,5,1,5,1,1,1,1,1,3,2,4,1,2,4,4,4,5,5,5,5,4,3,1,4,3,3,4,2,1,2,3,5,5,1
24,1,1,4,1,3,5,3,4,3,4,4,2,5,2,2,3,3,4,3,1,3,4,4,4,2,4,3,4,2,2,3,3,3,1,2,3,3,4,3,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3,1,1,2,3,3,3,4,3,4,2,3,2,3,4,3,3,2,4,2,1,1,1,2,3,3,4,4,3,2,2,2,2,1,4,3,5,5,5,4,4,5,4,5,5,2,4,5,4,4,3,4,4,4,1
30,1,1,5,3,4,5,2,4,4,5,5,2,5,1,4,3,3,2,2,2,2,4,4,4,2,4,4,4,4,20,4,2,2,5,2,4,4,5,5,0,0,1,1,0,0,0,0,0,0,0,0,5,4,4,1,2,4,1,2,5,5,2,2,4,5,2,4,4,4,5,2,2,2,1,1,1,5,5,5,5,5,5,2,2,2,2,1,2,5,5,5,5,5,5,5,5,5,5,2,4,5,5,3,3,5,1,4,2
19,1,1,3,1,4,5,2,5,3,4,3,2,4,1,3,4,4,4,2,4,4,2,1,3,4,2,4,5,5,1,1,1,2,3,1,2,4,3,4,1,1,0,0,0,0,0,0,0,0,0,0,5,5,5,5,1,3,3,3,3,4,2,3,2,5,1,5,5,1,3,4,2,2,1,2,4,4,4,4,4,3,2,4,2,5,3,4,5,1,4,4,5,4,3,2,2,5,4,3,5,4,4,4,3,3,2,2,4
18,1,1,3,3,2,3,2,4,4,3,3,3,2,4,4,3,1,4,3,4,2,4,4,4,5,2,5,2,5,1,4,5,5,5,4,2,4,3,3,0,0,1,1,0,0,0,0,0,0,1,0,4,4,4,2,1,2,3,3,4,4,2,2,4,3,2,3,4,4,2,3,2,2,1,1,3,2,4,1,4,3,2,1,1,2,1,1,2,4,4,4,4,4,4,3,4,4,4,1,4,4,2,3,4,2,4,4,2
18,1,1,3,1,2,2,4,4,4,5,5,2,5,2,4,5,4,2,2,3,4,4,5,4,2,4,2,4,2,15,1,1,1,1,1,4,4,2,2,0,1,0,1,0,0,1,1,0,0,0,0,5,4,2,2,1,2,2,5,1,4,2,4,5,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,1,1,5,5,1,5,5,5,5,1,4,4,2,2,2,4,2,1,4,4,4,2
19,1,1,3,1,4,4,2,4,3,4,4,2,4,4,4,4,4,2,1,2,2,4,3,4,1,2,4,2,5,1,2,1,2,2,1,4,4,5,5,1,1,1,1,0,0,1,0,0,0,0,0,4,4,1,1,1,1,1,3,1,5,2,5,4,5,1,1,3,3,1,1,1,1,1,1,5,5,5,5,5,5,4,1,1,1,1,1,1,5,5,4,5,4,5,4,4,5,5,2,5,5,3,3,3,3,4,4,2
22,1,1,3,1,4,4,5,5,2,4,2,4,3,2,4,2,2,3,2,4,4,2,2,5,4,1,4,2,5,1,4,3,3,2,2,1,4,5,2,0,1,1,1,0,0,0,1,0,0,0,0,4,4,2,4,1,1,4,3,3,2,4,5,3,5,2,4,4,2,1,1,2,4,4,2,1,4,2,3,4,4,4,2,2,2,2,2,2,4,5,4,5,4,4,3,2,4,4,2,4,5,2,3,3,5,2,4,2
21,1,1,3,1,3,4,2,5,4,4,4,2,4,2,4,4,4,4,3,4,4,4,5,5,2,2,4,2,5,9,2,2,2,3,2,4,4,4,4,1,1,1,1,0,0,1,0,0,0,0,0,2,5,1,3,1,1,5,3,2,5,1,3,4,3,1,3,4,4,1,1,1,1,1,3,1,4,4,5,5,2,5,2,2,4,2,3,1,3,3,3,3,3,3,3,2,4,2,4,4,4,2,3,3,2,4,4,4
23,1,1,3,4,4,5,2,5,3,5,5,4,4,5,4,4,4,4,4,1,4,5,2,4,4,2,5,2,5,20,6,6,5,6,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,5,5,3,3,5,2,5,5,1,1,5,5,5,1,4,5,5,5,1,5,5,4,1,4,4,5,5,1,1,1,1,1,5,1,5,5,5,5,5,3,3,5,5,1,5,5,5,2,4,4,5,2,1
20,1,1,3,1,4,4,3,4,4,4,4,1,4,2,4,4,4,1,2,4,4,4,4,4,2,1,3,2,4,8,4,4,4,4,2,3,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,3,4,2,1,2,1,4,4,2,4,2,4,5,5,2,2,4,4,2,2,3,2,2,3,2,4,4,4,4,4,2,1,1,1,4,4,1,4,4,3,4,4,3,2,1,3,4,2,5,5,4,5,4,1,4,3,2
18,1,1,3,1,3,4,2,4,3,4,4,2,3,2,4,4,4,4,4,2,3,4,4,4,3,3,4,3,4,4,3,5,4,4,3,4,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,2,2,2,3,3,1,2,4,5,3,4,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,4,4,3,4,4,3,4,3,3,3,4,3,3,4,4,4,4,3,3,4,3,3
22,1,1,3,1,4,4,4,4,5,4,4,2,3,3,4,4,4,4,3,2,3,5,4,4,2,5,4,4,1,2,2,2,2,2,2,2,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,5,4,2,4,1,1,3,1,3,4,3,5,2,5,1,4,4,4,4,5,5,4,2,3,5,2,4,2,3,2,2,2,2,4,1,2,2,4,4,4,4,4,4,4,3,4,4,1,5,3,4,4,4,2,2,2,4
23,1,1,4,3,4,4,4,4,3,4,2,3,4,4,4,4,2,4,3,4,4,3,5,2,4,2,4,2,4,35,3,3,3,3,4,4,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,4,5,3,3,2,4,3,3,4,4,2,3,3,3,2,2,4,4,2,4,2,2,2,3,2,4,3,2,4,4,4,1,1,1,2,2,2,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,3,3,4,2,3
20,1,1,3,3,4,5,3,5,3,3,3,4,3,4,4,5,5,2,2,1,2,4,4,4,4,3,4,3,4,30,2,2,2,1,2,2,4,4,4,0,1,1,1,0,0,0,1,1,0,0,1,5,5,4,4,4,4,5,5,5,4,3,4,3,4,2,4,5,3,3,2,2,3,3,2,2,2,2,2,2,3,4,1,2,2,1,2,2,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2
19,2,1,3,1,2,5,4,4,5,4,4,5,5,5,3,2,2,4,4,2,4,4,4,5,4,2,4,2,5,1,1,1,1,1,1,5,2,5,5,1,0,1,0,0,0,0,0,0,0,0,0,4,1,1,1,1,5,1,1,2,4,2,5,2,4,1,4,4,2,1,4,5,1,1,1,2,4,4,4,4,2,2,1,1,1,3,2,2,5,5,5,4,4,3,4,5,5,5,2,4,4,2,4,5,2,2,4,2
30,1,1,2,3,5,5,2,5,3,4,4,4,4,4,4,4,3,2,2,3,3,4,4,5,4,2,3,4,3,35,3,3,2,3,2,1,3,3,1,1,1,0,1,1,0,0,0,1,0,0,0,5,5,5,4,5,4,4,5,5,4,5,2,4,1,2,2,3,3,3,5,2,5,5,1,1,3,1,1,1,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,2,2,3,2,1,1,5,5,5,1
21,1,1,3,3,1,4,3,2,5,4,4,1,5,2,4,3,3,3,3,1,1,5,4,4,4,1,5,1,5,50,2,1,3,2,1,4,4,4,5,0,1,1,1,0,0,1,0,0,0,0,0,4,2,2,1,3,2,1,2,3,5,2,4,3,4,1,5,4,4,2,1,1,1,1,1,1,4,4,4,5,5,5,1,1,1,4,1,3,4,5,5,5,5,3,4,5,5,5,1,5,5,3,4,4,2,4,5,1
26,2,1,4,1,5,5,4,4,3,5,4,4,4,2,5,5,4,1,1,2,2,4,4,4,4,4,1,5,2,40,3,3,1,1,3,2,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,5,5,4,5,4,5,4,5,5,5,1,2,5,1,1,1,1,5,2,1,4,1,1,1,2,4,4,4,4,5,5,2,2,2,2,2,1,5,5,2,4,2,2,2,2,2,4,3,4,5,5,4,3,2,4,4,2
20,1,1,3,1,4,4,2,4,4,5,4,2,4,2,4,4,4,2,2,2,1,5,5,5,1,4,2,3,2,4,2,2,1,5,1,4,4,5,5,0,1,1,1,0,0,0,0,0,0,0,0,5,5,1,1,2,2,4,4,3,5,2,3,4,5,1,2,4,5,1,1,1,1,1,1,1,5,5,5,5,4,4,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,1,4,5,2,2,2,4,5,5,1
22,2,1,3,2,3,5,1,5,2,4,4,2,4,5,4,4,4,3,2,4,4,4,4,4,4,2,4,2,5,7,3,3,3,1,2,4,3,4,5,0,1,1,0,0,0,0,0,0,0,0,0,5,3,1,1,3,1,1,1,3,4,2,3,4,3,5,5,2,3,2,4,2,4,2,4,4,4,3,4,4,4,3,1,1,3,2,1,2,5,4,5,5,5,3,4,4,5,5,3,5,5,5,2,2,2,4,4,2
20,2,1,3,1,4,5,3,3,2,3,2,4,4,3,2,3,4,4,4,4,4,4,4,3,4,3,4,3,3,2,5,3,1,2,3,2,2,4,4,0,1,1,1,0,0,0,0,0,0,0,0,4,4,3,2,4,3,3,3,3,4,2,3,4,2,2,2,4,4,2,1,2,2,1,1,4,4,4,4,5,3,2,2,1,3,1,1,2,4,5,4,4,5,4,4,3,4,4,2,4,4,2,4,4,3,2,2,4
19,1,1,3,1,2,4,5,3,4,4,3,3,4,4,4,4,2,3,3,5,5,4,1,3,5,2,3,2,5,2,4,4,4,5,5,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,4,4,2,4,2,3,4,4,3,4,2,4,3,3,4,4,4,4,4,5,5,5,3,3,4,2,4,3,3,2,2,2,2,4,3,2,2,3,4,4,4,4,2,2,2,3,3,4,5,5,5,5,4,2,5,5,2
22,2,1,4,1,4,5,1,5,3,5,5,4,5,4,5,5,5,2,2,2,4,4,4,4,3,4,2,5,2,20,4,4,3,3,3,2,4,5,5,0,0,1,1,0,0,0,0,0,0,0,0,4,4,4,3,5,4,4,4,4,5,2,2,5,2,2,1,3,4,1,1,1,1,1,1,1,1,1,4,5,5,5,1,1,2,1,2,1,4,5,5,5,5,3,2,3,4,5,4,5,5,4,5,5,1,5,5,1
21,1,1,3,1,2,4,3,2,3,4,3,4,3,4,2,2,2,4,4,2,2,4,4,4,5,2,4,3,5,5,4,3,3,2,2,4,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,5,5,4,4,3,3,3,3,4,3,4,4,3,4,2,3,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,2,4,5,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,3
21,1,1,3,1,4,4,1,5,3,4,4,2,4,3,5,4,4,2,2,2,2,4,4,4,2,2,4,3,3,4,3,2,2,2,1,4,4,4,4,1,1,1,0,0,0,0,1,0,0,0,0,4,4,2,3,1,1,4,3,3,5,1,4,4,3,1,1,4,4,1,1,1,5,1,1,1,5,5,5,5,5,5,2,2,2,1,2,1,5,5,4,3,4,3,3,2,4,3,3,5,5,5,5,5,2,5,4,1
21,1,1,3,1,4,3,3,4,4,5,4,1,4,2,4,4,4,2,2,2,2,4,4,4,2,2,4,1,5,3,3,3,3,4,3,3,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,5,5,5,3,1,2,2,3,3,3,4,5,3,5,2,4,4,4,2,1,1,2,2,4,2,3,4,3,4,2,3,2,2,4,3,4,4,3,4,5,4,4,3,4,3,5,4,2,5,5,4,4,4,2,1,4,2
19,1,1,3,1,3,4,2,4,4,4,4,2,4,4,4,4,2,3,4,3,3,4,3,4,2,2,4,3,4,8,2,2,2,4,2,4,4,2,3,0,1,0,1,0,0,0,0,0,0,0,0,5,5,3,4,3,2,2,2,3,3,4,4,3,4,2,4,5,4,2,4,4,2,2,2,4,4,4,2,4,4,4,1,2,3,2,2,3,4,4,4,4,4,4,3,3,4,3,3,5,4,3,3,3,3,4,4,2
18,1,1,3,1,2,2,4,3,4,3,3,3,2,3,4,4,4,2,3,3,3,4,4,4,2,3,4,3,3,2,3,3,2,2,2,3,4,4,4,0,1,1,1,0,0,1,1,0,0,0,0,2,2,2,2,2,3,4,3,2,4,4,4,4,4,2,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,1,1,3,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,3,3,3,3,3
18,1,1,3,3,4,4,1,4,2,4,2,4,3,4,4,3,4,2,2,3,2,4,4,4,2,2,4,2,4,2,3,2,2,3,1,4,4,4,4,0,1,0,1,0,0,0,0,0,0,0,0,5,4,3,2,1,3,2,4,4,3,3,4,4,4,2,3,4,2,2,3,4,2,2,2,2,4,4,4,4,3,2,1,1,1,1,1,2,4,4,5,5,4,4,3,3,5,4,3,4,3,2,3,4,4,4,2,2
18,1,1,3,1,2,2,3,2,1,2,4,4,5,4,2,2,1,2,4,2,4,4,5,4,2,2,1,2,4,8,1,1,3,3,2,2,5,5,4,1,1,1,1,0,0,0,1,0,0,0,0,5,5,5,5,1,5,4,5,3,4,2,5,4,5,2,3,4,4,2,4,1,1,1,1,1,4,4,4,4,4,1,2,2,2,2,2,2,5,5,4,4,4,4,4,4,4,4,2,5,4,4,3,3,3,4,2,4
22,2,1,3,1,4,5,2,4,2,3,3,3,4,4,4,3,3,3,2,4,3,2,4,5,3,3,4,4,3,1,1,1,1,1,1,3,3,5,5,0,0,1,1,0,0,0,0,0,0,0,0,5,5,5,5,5,5,4,5,5,4,1,5,2,5,1,3,3,4,2,4,2,1,2,1,1,4,4,4,5,5,5,1,1,1,1,1,1,5,5,5,4,5,3,4,2,5,4,2,2,4,4,5,5,5,4,4,2
19,1,1,3,3,5,5,1,5,2,5,5,2,4,2,5,5,5,2,2,3,2,5,5,5,3,3,3,3,3,4,3,3,2,2,3,4,3,4,4,1,1,1,1,0,0,1,1,0,0,0,0,4,4,2,3,1,1,1,1,3,5,5,3,5,2,1,2,3,4,1,3,2,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,2,4,4,4,3,3,4,4,5,2
19,1,1,3,1,3,4,4,2,5,4,4,2,3,3,4,3,2,3,3,4,4,4,4,4,2,4,4,2,2,1,1,1,1,2,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,2,1,1,3,1,1,5,1,4,2,4,1,2,3,4,1,1,1,3,1,1,2,4,4,3,4,4,2,2,2,2,2,2,2,4,4,4,4,4,2,3,2,4,4,4,4,4,4,4,4,2,2,4,4
20,1,1,3,1,4,4,2,4,4,5,4,2,4,1,4,2,4,4,4,1,1,5,4,4,1,2,5,3,5,1,2,1,1,1,1,5,5,5,5,0,1,1,1,0,0,0,0,0,0,0,0,4,4,1,1,2,1,4,1,3,5,3,4,4,4,5,2,4,4,1,1,1,1,1,1,1,4,4,5,5,4,4,1,1,1,1,1,1,4,5,5,5,5,4,4,3,4,4,2,4,4,4,4,4,3,4,4,1
20,1,1,3,3,4,4,2,4,4,5,4,1,5,1,4,4,4,4,2,1,1,5,5,5,3,3,4,3,4,1,2,2,2,3,4,4,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,4,4,3,3,5,3,3,4,4,2,5,5,3,4,1,4,5,3,3,2,3,3,2,3,4,4,3,3,3,2,3,2,2,2,1,1,2,4,4,4,4,4,4,5,4,5,4,3,3,3,2,3,3,4,4,3,2
44,2,1,2,3,4,5,2,3,2,4,3,2,4,2,2,2,2,4,3,2,3,4,2,4,4,2,4,2,4,9,3,2,3,2,3,1,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,1,4,1,2,3,3,5,1,4,3,2,2,2,4,3,2,4,4,5,2,2,2,2,4,2,4,4,4,2,3,3,2,2,1,4,5,2,3,3,4,2,2,4,2,4,4,4,4,5,4,1,2,4,2
22,1,1,3,3,4,5,1,5,3,4,3,4,4,4,5,4,3,4,2,4,3,4,3,4,4,3,4,4,4,3,5,1,1,4,4,2,4,4,3,0,1,1,1,0,1,1,0,0,0,0,0,4,2,4,2,5,3,4,4,5,4,4,2,4,2,3,2,2,4,2,4,4,2,2,4,1,1,4,4,4,4,3,2,2,2,4,2,4,3,5,4,4,4,4,3,3,4,3,3,2,4,3,2,2,3,4,4,1
30,1,1,5,1,4,4,4,2,1,4,2,4,4,4,4,2,2,4,2,4,2,4,1,4,4,4,2,4,2,20,5,4,3,1,2,3,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1,1,4,3,2,1,2,4,4,2,4,2,5,4,4,4,5,4,3,2,2,4,2,4,3,4,2,2,1,1,2,1,1,2,5,4,5,5,5,3,2,4,5,4,4,4,4,2,2,4,2,4,2,1
18,1,1,3,1,4,3,1,4,4,5,4,1,4,3,5,4,4,2,3,2,2,5,4,4,2,4,3,4,4,3,3,2,1,2,1,5,5,5,5,1,1,1,1,0,0,1,0,0,0,1,0,3,1,1,1,1,1,1,1,3,5,2,4,4,4,1,3,2,4,1,1,1,1,1,1,1,5,5,5,5,5,3,2,1,4,2,4,2,4,5,4,4,4,4,2,2,5,4,3,5,5,4,5,5,2,4,5,2
23,2,1,4,1,4,4,3,4,1,3,3,4,4,4,2,2,4,4,3,3,4,3,4,5,4,3,3,4,4,1,3,3,4,1,2,3,4,4,5,0,1,1,1,0,0,0,0,0,0,1,0,4,2,1,4,4,1,4,3,1,2,4,4,1,5,2,4,3,2,2,2,2,1,1,2,2,3,3,4,5,3,4,1,1,2,3,2,3,2,5,5,5,4,4,5,4,3,4,3,5,3,4,3,4,2,1,4,4
20,1,3,3,1,4,5,3,4,4,5,4,2,4,4,4,4,4,2,2,2,2,4,4,4,2,4,2,3,3,33,3,2,2,3,2,4,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,5,5,2,4,1,2,5,3,3,4,2,3,3,4,2,2,4,2,2,4,2,4,4,2,4,4,2,4,4,4,2,1,1,2,2,2,2,4,4,4,5,4,4,4,3,5,4,2,4,4,3,2,2,3,4,4,1
19,1,1,3,3,2,4,3,5,4,5,3,4,5,4,4,5,4,2,2,4,2,5,2,4,4,2,5,2,5,7,1,3,4,1,3,2,2,1,4,1,1,1,0,0,0,0,1,0,0,0,0,5,4,1,4,1,1,2,1,3,4,2,4,4,1,1,2,4,2,2,2,4,3,3,3,3,4,3,4,5,4,4,1,1,1,1,1,4,4,4,5,4,4,4,3,3,5,3,1,4,5,3,4,3,3,4,3,3
19,2,1,3,1,4,5,2,4,4,4,2,4,3,4,4,3,4,4,2,2,2,4,4,4,2,3,4,4,5,1,2,1,3,1,1,4,4,5,4,1,1,1,0,0,0,0,0,0,0,1,0,4,1,1,1,1,1,1,1,3,4,4,4,3,4,2,4,2,4,2,1,1,1,1,1,1,4,4,4,4,4,4,2,1,2,2,2,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,5,5,2,4,4,2
20,1,1,3,1,2,4,4,2,4,4,4,2,5,3,5,5,4,2,2,3,2,5,4,4,2,2,3,4,4,2,3,3,2,4,3,2,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,4,4,1,4,1,1,3,2,3,4,2,4,4,4,2,2,4,5,1,3,2,1,1,4,1,5,4,3,4,4,4,2,2,2,1,2,1,4,5,5,5,5,5,4,4,4,3,2,4,5,5,4,4,3,2,2,2
22,1,5,3,1,3,5,4,4,4,5,5,3,4,3,4,4,3,4,4,3,4,5,5,5,2,2,4,5,4,1,1,1,4,1,2,4,3,5,4,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,3,1,1,3,2,3,4,5,3,5,1,3,4,4,5,1,1,1,1,1,1,1,3,5,5,3,4,1,1,1,4,1,1,4,4,5,5,5,5,5,5,5,5,1,4,2,1,1,1,5,5,4,1
19,1,1,3,1,4,5,2,3,4,5,4,2,3,3,5,5,5,2,1,2,1,4,4,4,3,3,3,2,4,4,1,2,3,4,1,5,5,4,3,1,1,1,0,0,0,1,0,0,0,0,0,4,5,2,1,1,1,1,1,2,5,3,4,5,3,1,2,4,4,4,1,2,1,1,1,1,1,4,4,5,5,5,1,1,2,1,1,1,5,5,5,5,4,4,3,2,4,4,3,5,5,5,4,4,2,4,4,2
19,1,1,3,3,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,2,4,4,,2,2,4,2,4,3,2,2,2,2,2,5,5,5,5,1,1,1,1,0,0,1,0,0,0,0,0,4,2,4,1,1,1,1,1,2,4,2,4,4,4,4,2,4,4,2,2,2,4,2,2,2,4,4,4,4,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,2,2,4,3
18,2,1,3,1,3,4,4,3,4,5,5,2,4,2,5,3,3,4,4,1,2,5,4,4,1,3,3,3,4,1,2,2,3,2,2,4,4,4,4,0,1,1,1,0,0,1,0,0,0,0,0,2,1,1,1,1,1,1,1,2,3,3,4,4,3,2,4,4,4,2,2,2,1,1,2,4,4,4,3,4,3,2,2,2,2,2,2,2,4,5,5,5,5,4,3,3,5,4,2,4,4,4,3,3,5,1,1,3
20,1,3,3,1,2,4,3,2,4,5,4,1,5,3,1,1,1,5,5,3,2,4,4,3,4,2,5,2,5,2,3,2,1,2,1,4,4,5,5,0,0,1,1,0,0,0,0,0,0,0,0,4,2,1,1,1,1,1,1,1,4,3,4,3,5,1,2,4,4,1,1,1,1,1,2,2,4,4,4,5,4,4,2,1,2,1,1,1,4,5,5,5,5,5,5,5,5,5,1,2,4,3,2,2,4,2,5,3
20,1,1,3,1,4,4,2,4,5,3,4,4,3,4,4,3,3,4,3,3,2,5,3,4,3,3,3,4,3,4,2,3,2,1,1,3,4,4,4,0,1,0,1,0,0,0,0,0,0,0,0,4,4,2,3,1,1,3,2,2,4,3,5,2,5,1,2,4,4,4,4,4,4,2,4,3,2,4,3,2,2,3,2,2,3,3,2,3,4,4,4,4,2,2,4,3,4,4,3,5,5,4,4,4,2,2,2,2
21,1,1,3,1,3,4,4,3,2,5,5,2,5,2,3,4,4,3,3,4,1,5,2,4,1,3,4,3,4,10,2,1,1,1,1,4,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,4,4,1,1,1,1,2,1,2,5,3,5,3,3,1,1,3,5,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,2,1,1,4,3,5,5,5,5,1,3,1,5,5,2,5,5,5,5,5,1,4,1,3
21,1,1,3,1,4,3,3,4,4,4,3,2,4,3,5,5,5,1,1,4,4,5,4,5,1,3,4,2,5,8,1,1,2,2,1,5,5,5,5,0,1,1,0,0,0,0,1,0,0,0,0,5,5,5,4,4,3,3,3,3,5,2,4,4,5,1,2,5,5,1,2,2,1,1,1,1,5,4,5,5,5,3,1,1,2,1,1,1,4,5,5,5,5,5,5,3,5,5,2,5,5,5,3,3,4,5,5,2
46,1,1,5,1,5,5,4,5,2,5,4,2,4,3,4,4,4,3,3,2,2,4,4,5,1,5,2,4,2,2,3,3,3,3,3,2,4,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,5,1,3,3,5,1,1,1,3,1,1,1,1,1,1,3,4,3,3,4,4,4,1,1,1,1,1,1,4,5,2,4,4,2,2,2,2,2,4,4,5,4,5,5,1,2,1,4
22,1,1,4,2,5,5,2,4,2,4,4,2,4,4,2,4,4,4,4,4,4,4,2,2,4,2,4,2,4,5,3,3,4,4,3,2,4,4,4,0,1,1,1,0,0,0,0,1,0,0,0,4,2,1,4,4,4,4,4,3,2,5,5,2,4,1,5,4,4,1,4,4,2,2,4,2,4,4,4,4,2,2,4,2,4,2,4,2,2,4,4,4,2,4,2,4,2,2,4,4,4,4,4,4,2,4,4,2
